"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2024","65,619.5","65,860.0","66,135.3","65,200.0","0.19K","-0.37%"
"03/11/2024","65,859.9","63,074.2","66,600.0","61,517.2","1.88K","4.42%"
"03/10/2024","63,074.3","62,613.1","63,930.6","62,400.0","0.72K","0.68%"
"03/09/2024","62,649.9","62,425.2","62,781.1","62,124.5","0.37K","0.38%"
"03/08/2024","62,413.8","61,130.1","63,999.0","60,483.8","1.61K","2.10%"
"03/07/2024","61,130.1","60,642.5","62,364.9","60,201.1","1.13K","0.82%"
"03/06/2024","60,633.8","58,788.1","62,227.0","57,937.5","1.76K","3.06%"
"03/05/2024","58,830.7","62,877.2","63,584.5","54,425.1","3.94K","-6.51%"
"03/04/2024","62,930.5","58,214.0","63,089.9","57,580.2","3.39K","8.07%"
"03/03/2024","58,230.2","57,223.2","58,300.0","56,650.1","0.63K","1.76%"
"03/02/2024","57,223.2","57,564.8","57,608.4","56,900.0","0.40K","-0.59%"
"03/01/2024","57,565.4","56,560.4","58,248.0","56,160.0","0.91K","1.77%"
"02/29/2024","56,565.9","57,615.5","58,629.9","55,800.0","1.78K","-1.83%"
"02/28/2024","57,620.0","52,622.0","58,999.0","52,317.3","3.63K","9.50%"
"02/27/2024","52,622.0","49,926.9","53,085.0","49,926.9","1.78K","5.39%"
"02/26/2024","49,932.9","47,793.4","50,425.0","46,950.1","1.21K","4.49%"
"02/25/2024","47,786.2","47,622.0","47,925.0","47,404.9","0.29K","0.35%"
"02/24/2024","47,621.9","46,873.7","47,710.0","46,731.0","0.23K","1.60%"
"02/23/2024","-1","47,360.6","47,575.7","46,682.2","0.55K","-1.05%"
"02/22/2024","47,370.0","47,934.7","48,068.0","47,051.1","0.60K","-1.17%"
"02/21/2024","47,930.3","48,349.4","48,400.0","46,869.6","0.69K","-0.87%"
"02/20/2024","48,349.3","48,041.9","48,988.8","47,000.1","1.11K","0.62%"
"02/19/2024","48,053.5","48,357.1","48,688.8","48,000.0","0.63K","-0.61%"
"02/18/2024","48,346.0","47,944.2","48,575.0","47,538.7","0.32K","0.84%"
