"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2024","133.290","132.670","134.410","130.110","1.28K","0.45%"
"03/11/2024","132.690","133.760","134.380","130.060","5.36K","-0.80%"
"03/10/2024","133.760","131.400","135.650","130.260","2.22K","1.80%"
"03/09/2024","131.400","134.700","136.090","131.330","2.57K","-2.45%"
"03/08/2024","134.700","131.740","138.470","130.460","4.54K","2.25%"
"03/07/2024","131.740","132.000","136.230","126.700","4.60K","-0.20%"
"03/06/2024","132.000","130.430","139.000","127.990","7.00K","1.20%"
"03/05/2024","130.430","138.230","138.960","122.010","9.78K","-5.64%"
"03/04/2024","138.230","139.230","139.230","131.240","9.32K","-0.72%"
"03/03/2024","139.230","134.800","141.230","132.980","4.12K","3.29%"
"03/02/2024","134.800","132.980","134.800","129.500","3.36K","1.27%"
"03/01/2024","133.110","127.830","134.790","126.890","3.56K","4.13%"
"02/29/2024","127.830","124.370","130.070","123.400","4.07K","2.78%"
"02/28/2024","124.370","125.970","130.440","123.400","5.17K","-1.27%"
"02/27/2024","125.970","121.980","131.600","121.360","5.71K","3.17%"
"02/26/2024","122.100","119.130","123.000","118.000","5.80K","2.64%"
"02/25/2024","118.960","114.390","119.010","113.480","6.15K","4.00%"
"02/24/2024","114.390","114.060","115.800","112.880","4.85K","0.29%"
"02/23/2024","114.060","114.630","114.980","111.510","3.78K","-0.50%"
"02/22/2024","114.630","113.690","115.250","111.840","4.12K","0.83%"
"02/21/2024","113.690","114.610","116.200","107.000","4.99K","-0.80%"
"02/20/2024","114.610","105.660","116.380","104.700","6.39K","8.47%"
"02/19/2024","105.660","113.420","114.090","101.690","10.08K","-6.84%"
"02/18/2024","113.420","112.610","114.500","110.000","3.59K","0.72%"
"02/17/2024","112.610","113.960","113.970","110.000","2.93K","-1.18%"
"02/16/2024","113.960","117.020","119.970","111.800","5.25K","-2.31%"
"02/15/2024","116.650","119.550","120.260","116.010","5.38K","-2.43%"
"02/14/2024","119.550","119.380","122.880","117.920","6.82K","0.18%"
"02/13/2024","119.330","117.110","120.160","113.650","8.22K","1.90%"
"02/12/2024","117.110","111.450","119.000","109.790","11.37K","5.10%"
"02/11/2024","111.430","110.270","113.740","108.230","3.76K","1.05%"
"02/10/2024","110.270","112.970","114.070","106.750","10.58K","-2.39%"
"02/09/2024","112.970","119.270","119.750","111.230","5.98K","-5.28%"
"02/08/2024","119.270","121.500","124.110","109.350","12.09K","-1.88%"
"02/07/2024","121.560","97.580","124.670","96.340","21.63K","25.22%"
"02/06/2024","97.080","153.610","154.960","93.000","35.11K","-36.80%"
"02/05/2024","153.610","154.030","155.500","152.380","2.09K","-0.27%"
"02/04/2024","154.030","153.220","155.300","152.690","1.41K","0.53%"
"02/03/2024","153.220","156.370","157.030","149.890","22.68K","-2.01%"
"02/02/2024","156.370","152.990","158.340","152.190","2.08K","2.21%"
"02/01/2024","152.990","151.430","156.910","151.430","2.44K","1.03%"
"01/31/2024","151.430","147.900","154.130","146.180","2.77K","2.39%"
"01/30/2024","-1","154.860","158.930","147.260","3.15K","-4.49%"
"01/29/2024","154.860","148.330","157.190","147.460","3.52K","4.40%"
"01/28/2024","148.330","148.120","149.740","146.640","0.92K","0.14%"
"01/27/2024","148.120","146.920","149.440","145.410","1.09K","0.82%"
"01/26/2024","146.920","144.950","149.700","144.020","2.21K","1.20%"
"01/25/2024","145.180","140.270","145.590","139.920","2.26K","3.50%"
"01/24/2024","140.270","138.230","143.110","137.270","2.25K","1.48%"
"01/23/2024","138.230","138.700","142.060","135.050","1.88K","-0.34%"
"01/22/2024","138.700","144.780","146.850","137.400","4.20K","-4.36%"
"01/21/2024","145.030","143.930","149.810","142.530","1.65K","0.76%"
"01/20/2024","143.930","145.230","146.470","143.000","0.60K","-0.90%"
"01/19/2024","145.230","140.880","145.850","137.560","1.80K","3.09%"
"01/18/2024","140.880","144.900","150.470","140.000","2.99K","-2.77%"
"01/17/2024","-1","144.650","147.900","143.040","2.06K","0.03%"
"01/16/2024","144.850","143.670","148.700","141.800","4.47K","0.82%"
"01/15/2024","143.670","140.480","145.400","140.010","2.00K","2.27%"
"01/14/2024","140.480","142.600","146.000","140.000","1.74K","-1.50%"
"01/13/2024","142.620","138.990","143.230","135.880","1.44K","2.61%"
"01/12/2024","138.990","139.130","147.720","136.350","5.84K","-0.10%"
"01/11/2024","139.130","136.160","141.270","134.840","3.67K","2.26%"
"01/10/2024","136.050","132.190","139.320","131.630","5.11K","2.92%"
"01/09/2024","132.190","135.200","136.200","130.790","4.43K","-2.39%"
"01/08/2024","-1","133.840","141.020","131.590","4.31K","1.18%"
"01/07/2024","133.840","139.860","142.060","132.700","4.66K","-4.30%"
"01/06/2024","139.860","142.630","145.390","137.400","3.56K","-1.94%"
"01/05/2024","142.630","150.700","150.900","140.700","3.21K","-5.36%"
"01/04/2024","150.700","141.370","150.740","137.110","6.72K","6.60%"
"01/03/2024","141.370","153.190","155.060","138.270","6.88K","-7.72%"
"01/02/2024","153.190","153.550","158.000","152.310","4.29K","-0.23%"
"01/01/2024","153.550","149.800","153.680","148.400","4.24K","2.50%"
"12/31/2023","149.800","150.590","152.830","148.640","2.11K","-0.52%"
"12/30/2023","-1","151.290","153.320","147.320","1.67K","-0.46%"
"12/29/2023","151.290","158.000","158.660","147.640","4.13K","-4.25%"
"12/28/2023","158.000","158.170","162.320","155.700","3.22K","-0.11%"
"12/27/2023","158.170","157.610","159.500","155.890","1.97K","0.36%"
"12/26/2023","157.610","158.290","160.200","155.000","1.89K","-0.65%"
"12/25/2023","158.640","156.060","159.220","155.670","1.13K","1.65%"
"12/24/2023","156.060","162.600","162.940","156.000","1.02K","-4.02%"
"12/23/2023","162.600","160.490","162.910","157.440","1.92K","1.31%"
"12/22/2023","160.490","157.480","160.500","155.560","2.43K","1.94%"
"12/21/2023","157.430","159.470","160.970","157.000","3.21K","-1.28%"
"12/20/2023","159.470","155.730","159.820","155.730","2.72K","2.40%"
"12/19/2023","155.730","159.140","160.990","153.000","3.15K","-2.14%"
"12/18/2023","159.140","154.240","159.180","152.560","2.29K","3.18%"
"12/17/2023","154.240","155.090","156.620","153.640","0.86K","-0.55%"
"12/16/2023","155.090","154.400","158.150","153.940","3.59K","0.45%"
"12/15/2023","154.400","153.000","157.730","152.360","2.00K","0.92%"
"12/14/2023","153.000","155.790","155.790","151.750","1.65K","-1.79%"
"12/13/2023","155.790","158.000","158.260","154.880","2.02K","-1.40%"
"12/12/2023","158.000","159.720","160.970","155.510","2.50K","-1.08%"
"12/11/2023","159.720","163.310","163.890","151.310","4.92K","-2.20%"
"12/10/2023","163.310","162.850","165.880","162.320","1.84K","0.28%"
"12/09/2023","162.850","161.540","164.450","161.540","7.28K","0.53%"
"12/08/2023","161.990","160.160","162.690","159.680","5.81K","1.14%"
"12/07/2023","160.160","158.510","163.840","158.040","3.32K","1.04%"
"12/06/2023","158.510","158.530","161.000","158.130","3.54K","-0.01%"
"12/05/2023","158.530","157.030","159.600","155.080","2.56K","0.96%"
"12/04/2023","157.030","158.450","160.190","154.160","4.60K","-0.90%"
"12/03/2023","158.450","158.800","159.200","156.810","1.85K","-0.22%"
"12/02/2023","158.800","157.690","159.760","156.530","1.84K","0.70%"
"12/01/2023","157.690","156.090","158.050","155.430","3.52K","1.03%"
"11/30/2023","-1","151.460","156.400","151.330","1.62K","3.06%"
"11/29/2023","151.460","152.570","152.880","150.500","1.46K","-0.73%"
"11/28/2023","152.570","151.170","152.990","150.070","1.41K","0.93%"
"11/27/2023","151.170","154.990","155.730","150.970","1.41K","-2.46%"
"11/26/2023","154.990","157.290","158.120","153.830","1.94K","-1.46%"
"11/25/2023","157.290","156.070","158.000","155.200","1.73K","0.78%"
"11/24/2023","156.070","152.440","156.640","152.440","1.70K","2.38%"
"11/23/2023","152.440","150.310","154.000","150.010","1.36K","1.42%"
"11/22/2023","150.310","145.820","150.610","145.490","6.13K","3.08%"
"11/21/2023","145.820","149.260","151.710","145.310","2.65K","-2.30%"
"11/20/2023","149.260","150.680","151.090","148.330","2.40K","-0.94%"
"11/19/2023","150.680","147.540","150.770","146.490","1.35K","2.13%"
"11/18/2023","147.540","149.230","150.510","145.980","6.08K","-1.13%"
"11/17/2023","149.230","148.280","153.710","147.970","1.84K","0.64%"
"11/16/2023","148.280","148.660","150.550","145.050","2.09K","-0.26%"
"11/15/2023","148.660","150.280","153.550","146.000","3.51K","-1.08%"
"11/14/2023","150.280","152.240","155.600","146.360","2.36K","-1.42%"
"11/13/2023","152.450","160.480","161.830","152.250","1.67K","-5.00%"
"11/12/2023","-1","158.440","160.550","156.210","1.00K","1.29%"
"11/11/2023","158.440","159.880","161.470","157.400","2.58K","-0.90%"
"11/10/2023","159.880","159.770","162.700","156.380","1.77K","0.07%"
"11/09/2023","159.770","156.350","159.990","149.080","4.02K","2.19%"
"11/08/2023","156.350","155.600","156.770","154.080","1.50K","0.48%"
"11/07/2023","155.600","154.280","157.300","151.460","3.07K","0.86%"
"11/06/2023","154.280","158.200","158.250","153.510","2.32K","-2.48%"
"11/05/2023","158.200","157.300","159.540","156.000","0.75K","0.57%"
"11/04/2023","157.300","159.350","160.280","154.370","2.35K","-1.29%"
"11/03/2023","159.350","161.230","162.190","158.670","2.47K","-1.17%"
"11/02/2023","161.230","162.000","162.790","158.320","5.26K","-0.48%"
"11/01/2023","162.000","163.000","163.560","160.500","2.08K","-0.61%"
"10/31/2023","163.000","162.870","163.790","159.300","3.96K","0.08%"
"10/30/2023","162.870","165.070","165.830","156.020","7.81K","-1.33%"
"10/29/2023","165.070","153.690","165.460","151.730","3.98K","7.40%"
"10/28/2023","153.690","152.310","154.000","151.210","1.18K","0.91%"
"10/27/2023","152.310","151.230","152.390","149.000","2.45K","0.71%"
"10/26/2023","151.230","151.440","153.960","148.900","2.55K","-0.14%"
"10/25/2023","-1","148.950","152.050","146.000","2.77K","1.67%"
"10/24/2023","148.950","150.930","152.820","146.500","3.65K","-1.31%"
"10/23/2023","150.930","150.320","151.960","146.860","2.66K","0.41%"
"10/22/2023","150.320","149.080","150.950","147.480","3.22K","0.83%"
"10/21/2023","149.080","146.540","149.150","145.500","0.69K","1.73%"
"10/20/2023","146.540","144.010","148.620","143.950","4.44K","1.76%"
"10/19/2023","144.010","142.270","144.010","138.350","2.11K","1.22%"
"10/18/2023","142.270","142.220","143.960","142.000","3.48K","0.04%"
"10/17/2023","142.220","144.440","144.440","141.430","1.41K","-1.54%"
"10/16/2023","-1","144.880","146.850","143.260","3.53K","-0.30%"
"10/15/2023","144.880","145.570","146.120","144.620","0.59K","-0.47%"
"10/14/2023","145.570","146.170","146.900","144.570","1.16K","-0.41%"
"10/13/2023","146.170","144.650","147.000","143.270","1.64K","1.05%"
"10/12/2023","144.650","144.890","145.310","142.500","1.42K","-0.17%"
"10/11/2023","144.890","143.810","145.020","142.230","3.09K","0.75%"
"10/10/2023","143.810","145.750","146.160","143.480","1.76K","-1.33%"
"10/09/2023","145.750","147.840","147.840","144.040","2.38K","-1.41%"
"10/08/2023","147.840","146.780","148.380","145.280","1.72K","0.72%"
"10/07/2023","146.780","143.660","146.860","142.620","1.38K","2.17%"
"10/06/2023","143.660","141.800","144.320","140.640","4.03K","1.31%"
"10/05/2023","141.800","143.370","144.000","141.000","1.16K","-1.10%"
"10/04/2023","143.370","140.550","143.520","139.140","1.60K","2.01%"
"10/03/2023","140.550","139.720","141.070","138.430","2.70K","0.59%"
"10/02/2023","139.720","140.990","142.020","138.880","2.44K","-0.90%"
"10/01/2023","-1","138.570","141.710","137.650","3.31K","1.75%"
"09/30/2023","138.570","138.560","139.990","137.280","0.81K","0.01%"
"09/29/2023","138.560","138.080","138.680","136.490","1.26K","0.35%"
"09/28/2023","138.080","139.320","140.000","137.670","1.70K","-0.89%"
"09/27/2023","139.320","137.060","139.410","136.430","2.18K","1.65%"
"09/26/2023","137.060","136.270","137.080","135.150","1.53K","0.58%"
"09/25/2023","136.270","134.930","137.090","134.430","1.41K","0.99%"
"09/24/2023","134.930","133.080","135.610","133.070","2.04K","1.39%"
"09/23/2023","133.080","136.120","136.530","132.930","2.53K","-2.23%"
"09/22/2023","136.120","136.050","137.990","135.620","1.83K","0.05%"
"09/21/2023","136.050","138.900","139.300","136.000","1.24K","-2.05%"
"09/20/2023","138.900","138.340","138.900","136.360","1.39K","0.40%"
"09/19/2023","138.340","136.210","138.560","136.210","0.99K","1.56%"
"09/18/2023","136.210","136.690","138.550","135.680","1.38K","-0.35%"
"09/17/2023","136.690","135.540","137.030","134.310","0.90K","0.85%"
"09/16/2023","-1","137.860","138.820","135.070","0.62K","-1.68%"
