"Settimana","Monero_interesse"
2019-03-17,26
2019-03-24,23
2019-03-31,28
2019-04-07,25
2019-04-14,23
2019-04-21,22
2019-04-28,24
2019-05-05,25
2019-05-12,31
2019-05-19,25
2019-05-26,34
2019-06-02,31
2019-06-09,30
2019-06-16,37
2019-06-23,45
2019-06-30,35
2019-07-07,32
2019-07-14,26
2019-07-21,22
2019-07-28,22
2019-08-04,25
2019-08-11,24
2019-08-18,21
2019-08-25,24
2019-09-01,22
2019-09-08,21
2019-09-15,24
2019-09-22,22
2019-09-29,19
2019-10-06,20
2019-10-13,22
2019-10-20,22
2019-10-27,23
2019-11-03,23
2019-11-10,23
2019-11-17,23
2019-11-24,28
2019-12-01,30
2019-12-08,21
2019-12-15,24
2019-12-22,21
2019-12-29,22
2020-01-05,26
2020-01-12,25
2020-01-19,22
2020-01-26,22
2020-02-02,25
2020-02-09,28
2020-02-16,26
2020-02-23,22
2020-03-01,20
2020-03-08,24
2020-03-15,20
2020-03-22,23
2020-03-29,28
2020-04-05,31
2020-04-12,25
2020-04-19,26
2020-04-26,27
2020-05-03,28
2020-05-10,28
2020-05-17,27
2020-05-24,25
2020-05-31,25
2020-06-07,20
2020-06-14,15
2020-06-21,16
2020-06-28,16
2020-07-05,22
2020-07-12,22
2020-07-19,24
2020-07-26,28
2020-08-02,27
2020-08-09,24
2020-08-16,28
2020-08-23,27
2020-08-30,28
2020-09-06,32
2020-09-13,28
2020-09-20,25
2020-09-27,27
2020-10-04,26
2020-10-11,29
2020-10-18,31
2020-10-25,29
2020-11-01,28
2020-11-08,29
2020-11-15,31
2020-11-22,34
2020-11-29,31
2020-12-06,32
2020-12-13,52
2020-12-20,42
2020-12-27,65
2021-01-03,74
2021-01-10,68
2021-01-17,55
2021-01-24,51
2021-01-31,59
2021-02-07,75
2021-02-14,87
2021-02-21,78
2021-02-28,64
2021-03-07,60
2021-03-14,65
2021-03-21,57
2021-03-28,66
2021-04-04,60
2021-04-11,87
2021-04-18,100
2021-04-25,79
2021-05-02,88
2021-05-09,97
2021-05-16,89
2021-05-23,66
2021-05-30,65
2021-06-06,56
2021-06-13,53
2021-06-20,55
2021-06-27,49
2021-07-04,45
2021-07-11,39
2021-07-18,36
2021-07-25,42
2021-08-01,42
2021-08-08,41
2021-08-15,41
2021-08-22,36
2021-08-29,32
2021-09-05,33
2021-09-12,29
2021-09-19,31
2021-09-26,24
2021-10-03,29
2021-10-10,32
2021-10-17,31
2021-10-24,33
2021-10-31,32
2021-11-07,41
2021-11-14,46
2021-11-21,47
2021-11-28,52
2021-12-05,48
2021-12-12,45
2021-12-19,44
2021-12-26,48
2022-01-02,61
2022-01-09,58
2022-01-16,60
2022-01-23,58
2022-01-30,54
2022-02-06,56
2022-02-13,55
2022-02-20,53
2022-02-27,56
2022-03-06,59
2022-03-13,54
2022-03-20,51
2022-03-27,54
2022-04-03,51
2022-04-10,58
2022-04-17,65
2022-04-24,55
2022-05-01,53
2022-05-08,58
2022-05-15,52
2022-05-22,52
2022-05-29,45
2022-06-05,42
2022-06-12,55
2022-06-19,53
2022-06-26,42
2022-07-03,43
2022-07-10,45
2022-07-17,41
2022-07-24,40
2022-07-31,38
2022-08-07,44
2022-08-14,50
2022-08-21,40
2022-08-28,37
2022-09-04,33
2022-09-11,40
2022-09-18,42
2022-09-25,35
2022-10-02,33
2022-10-09,32
2022-10-16,32
2022-10-23,33
2022-10-30,32
2022-11-06,40
2022-11-13,37
2022-11-20,32
2022-11-27,34
2022-12-04,31
2022-12-11,32
2022-12-18,31
2022-12-25,29
2023-01-01,30
2023-01-08,32
2023-01-15,33
2023-01-22,31
2023-01-29,34
2023-02-05,26
2023-02-12,24
2023-02-19,25
2023-02-26,23
2023-03-05,26
2023-03-12,31
2023-03-19,32
2023-03-26,37
2023-04-02,31
2023-04-09,30
2023-04-16,33
2023-04-23,28
2023-04-30,27
2023-05-07,30
2023-05-14,26
2023-05-21,18
2023-05-28,18
2023-06-04,17
2023-06-11,18
2023-06-18,19
2023-06-25,22
2023-07-02,18
2023-07-09,20
2023-07-16,19
2023-07-23,19
2023-07-30,19
2023-08-06,19
2023-08-13,19
2023-08-20,19
2023-08-27,19
2023-09-03,18
2023-09-10,18
2023-09-17,18
2023-09-24,16
2023-10-01,17
2023-10-08,17
2023-10-15,17
2023-10-22,19
2023-10-29,20
2023-11-05,21
2023-11-12,21
2023-11-19,21
2023-11-26,20
2023-12-03,23
2023-12-10,19
2023-12-17,21
2023-12-24,21
2023-12-31,23
2024-01-07,25
2024-01-14,24
2024-01-21,21
2024-01-28,24
2024-02-04,50
2024-02-11,32
2024-02-18,29
2024-02-25,32
2024-03-03,34
